okved,cluster
KRTAP4-7,0
OR2J2,0
ASB18,0
DUSP21,0
OR11A1,0
OR3A1,0
OR7A10,0
OR1E1,0
OR3A3,0
OR6A2,0
UBE2U,0
OR2F2,0
CDRT4,0
GAGE1,0
ASB12,0
DNAJB8,0
TAS2R9,0
SPATA3,0
POTEG,0
GTSF1L,0
VCX2,0
PABPC1L2A,0
KRT71,0
TBATA,0
TAS2R8,0
TAAR2,0
TAS2R1,0
C1QTNF9,0
IFNL1,0
OR2J3,0
GOLGA6L6,0
GOLGA6B,0
POTEM,0
OR10H1,0
OR7C2,0
OPN1MW,0
SPZ1,0
NT5C1B,0
FSCB,0
USP17L2,0
CAPZA3,0
IL36A,0
GALNTL5,0
SPEM1,0
POTEI,0
OPN1LW,0
KRT25,0
GPR78,0
PGA5,0
IFNL3,0
ENTHD1,0
OR1F1,0
TBC1D28,0
ODF3,0
GOLGA6D,0
SPPL2C,0
TPD52L3,0
MCHR2,0
ACTRT2,0
STRA8,0
LELP1,0
SKOR2,0
HEPN1,0
KRTAP1-5,0
SPANXC,0
TAAR1,0
KRT74,0
OTOG,0
NKX2-4,0
PANX3,0
HMGB4,0
KRTAP1-1,0
LYPD4,0
DNAJB7,0
CEACAM16,0
DAOA,0
AWAT2,0
OR10H3,0
STH,0
PFN3,0
ZIM3,0
OPN5,0
GOLGA6C,0
IGH,0
POTEE,0
CLDN25,0
SLC36A3,0
IGSF23,0
MSANTD3-TMEFF1,0
SPINK8,0
POTEH,0
TRIM42,0
DMRTC2,0
SCGB1D1,0
TMPRSS12,0
IQCF3,0
TMPRSS11F,0
CLDN22,0
PRM3,0
POM121L12,0
TAS1R2,0
FABP12,0
PDILT,0
NKX6-3,0
TRIM49C,0
OTOP3,0
NXNL1,0
CST9,0
NBPF19,0
AWAT1,0
TTLL8,0
SPATA16,0
SLC7A13,0
CIB3,0
GIMAP1-GIMAP5,0
POTED,0
GRXCR1,0
LRRC70,0
OR1A2,0
PTCHD3,0
BPIFA3,0
GABRR3,0
SIRPD,0
KRTAP2-3,0
KHDC1L,0
TMEM174,0
BHLHA9,0
OTUD6A,0
SULT1C3,0
PRAC1,0
ABHD16B,0
DEFB103B,0
IFNL2,0
CD200R1L,0
RNASE10,0
PABPC1L2B,0
TRIML1,0
PRAMEF8,0
IGK,0
VCX,0
LRRC52,0
OR4N2,0
MBD3L2,0
GRAPL,0
OR9Q1,0
IGFL3,0
TMPRSS7,0
FOXB2,0
TMCO5A,0
CPLX4,0
SAMD7,0
USP17L5,0
KRBA2,0
SPINK6,0
TRA,0
LRRC51,0
CABS1,0
POTEJ,0
RFPL4B,0
FRG2C,0
LYZL1,0
SPATA19,0
RFPL4A,0
TAS2R38,0
TGM6,0
SRRM5,0
SLC15A5,0
SUN5,0
NLRP8,0
OR1E2,0
MCTS2,0
MSMP,0
FOXR1,0
TSGA13,0
ARGFX,0
RNASE11,0
RPS4Y2,0
KNCN,0
LRIT2,0
IL36B,0
KRT40,0
PGBD3,0
TMIGD3,0
GUCA1C,0
TBC1D26,0
IL31,0
R3HDML,0
MRGPRX1,0
GPR119,0
SPANXB1,0
TRIM49,0
AADACL3,0
OR2C3,0
USP26,0
DEFB118,0
TRIM60,0
KCNK18,0
TCHHL1,0
CEACAM20,0
KRT28,0
TXNDC8,0
SLC35G3,0
GJA10,0
PRR30,0
KRTAP3-1,0
BANF2,0
ANKRD62,0
TMEM225,0
RBMY1A1,0
ASIC5,0
SSX2B,0
KRTAP3-2,0
CGB3,0
MSGN1,0
ST20-MTHFS,0
