,okved,cluster
0,H4C10P,166
1,TRAJ8,1
2,MIR6812,123
3,TP53TG3F,89
4,MIR4502,43
5,TRAJ6,1
6,OR7E53P,98
7,PLSCR2,86
8,MIR8087,112
9,OR51A5P,110
10,UGT1A4,141
11,ANKRD20A2P,270
12,SERF1B,261
13,OR7E136P,258
14,MIR6724-3,157
15,MIR6801,200
16,MIR6807,47
17,MIR6799,200
18,TRAV19,16
19,MIR7973-2,243
20,HNRNPCL3,161
21,MIR6844,155
22,MIR6775,43
23,PRR20B,213
24,TRBV18,16
25,OR4B2P,90
26,LINC01595,173
27,OR1S2,27
28,MIR4773-2,272
29,OR8B1P,150
30,IGLV3-22,85
31,OR11H3P,165
32,MIR7161,274
33,MIR5681A,284
34,OR11J1P,165
35,MIR514B,140
36,MIR378J,248
37,PCDHB12,121
38,TRAJ35,1
39,DUX4L2,70
40,IGKV1D-33,24
41,CT47A2,78
42,MIR7706,307
43,MIR1321,95
44,MIR4525,57
45,AGAP5,56
46,MIR6796,47
47,MIR548AE1,91
48,TRAJ1,1
49,DUX5,152
50,FAM90A8,96
51,TRAJ26,1
52,IGKV1-9,22
53,OR10J9P,305
54,MIR12129,47
55,IGHV3-21,22
56,IGHV3-16,19
57,OR9G2P,30
58,MIR6739,15
59,MIR4659A,256
60,MIR3180-2,62
61,H3C11,49
62,USP17L3,311
63,MIR378H,135
64,OR8B10P,150
65,OR5AW1P,4
66,TRAJ14,1
67,CT47A11,78
68,USP17L20,44
69,USP17L22,44
70,IGLV5-37,85
71,MIR4436B1,177
72,MIR8067,243
73,MIR6870,171
74,MIR6859-4,205
75,SPEM2,133
76,PCDHB9,255
77,MIR3681,177
78,TRGV10,120
79,PCDHGA4,25
80,IGKV1-39,22
81,OR4H6P,165
82,OR4P1P,84
83,FAM106C,267
84,IGHV4-34,22
85,OR51A3P,172
86,MIR6719,200
87,OR5AN2P,92
88,MT-ND1,127
89,MIR1302-2,193
90,OR9K1P,66
91,OR5AP2,300
92,MIR6077,15
93,TRAJ29,1
94,MIR4481,6
95,OR5A1,300
96,CTAGE15,156
97,MIR4745,71
98,TPSAB1,219
99,H2BP2,136
100,OR4A1P,264
101,RPL19,94
102,MIR3689A,153
103,H2BC16P,173
104,MIR6848,307
105,MBD3L4,262
106,MIR1972-1,259
107,TTTY17C,129
108,H4C2,247
109,MIR6128,112
110,CT47A6,78
111,TRAJ45,1
112,TRAJ48,1
113,OR4A42P,125
114,PRR20D,213
115,TRAV9-2,16
116,MIR6835,47
117,MIR513A1,95
118,PRAMEF17,187
119,CPHXL,310
120,OR10U1P,2
121,TRAV1-2,23
122,MIR4704,173
123,PLA2G2E,31
124,OR4K4P,160
125,NCR3,72
126,OR10AK1P,263
127,XAGE1A,117
128,SSX4B,8
129,CT47A9,78
130,RPL8,94
131,TRAV12-2,103
132,MIR4653,71
133,MIR6718,210
134,DEFB130A,249
135,ACSM2A,275
136,OR56A5,145
137,FAM74A7,10
138,RNA5-8SN2,137
139,TRAV2,16
140,GOLGA6C,280
141,MIR329-2,299
142,TTTY17B,129
143,USP17L17,44
144,MIR6792,80
145,OR8B9P,150
146,LOC110467515,139
147,PCDHB7,121
148,MIR5681B,284
149,ZNF664-RFLNA,220
150,IGLV2-23,22
151,IGHV3-38,116
152,H2AC18,67
153,SETDB2-PHF11,164
154,MIR6846,155
155,XAGE1B,117
156,DAZ1,312
157,MIR4999,47
158,OR5M5P,30
159,BOD1L2,3
160,RNA5-8SN3,137
161,OR8X1P,150
162,TRAJ3,1
163,GNG14,47
164,MT-ATP6,127
165,CGB2,207
166,IGHV2-26,116
167,CSAG3,168
168,MIR3914-2,21
169,MIR7150,301
170,MIR6778,248
171,ATP11B,86
172,MIR6508,211
173,MIR6865,57
174,OR4A3P,90
175,IGHV3-43,116
176,MIR7850,109
177,OR7A15P,77
178,TRNAV-CAC,5
179,OR2T27,108
180,OR11H5P,160
181,MIR4504,34
182,SNORD50A,14
183,OR5AC4P,46
184,MIR6783,57
185,MIR10398,107
186,AGAP4,56
187,PRAMEF33,60
188,MIR6724-2,157
189,MIR3160-2,105
190,IGKV2-30,22
191,H3C9P,68
192,OR7E158P,185
193,OR5F2P,84
194,MIR6771,43
195,MIR3147,153
196,OR5D17P,30
197,TRAJ13,1
198,MIR7107,257
199,MIR3122,180
200,PLCD3,119
201,OR4G1P,291
202,MIR3202-2,4
203,OR5BR1P,92
204,TRAJ37,1
205,MIR8059,57
206,PRR20C,213
207,PRAMEF13,12
208,MIR6511A1,251
209,MIR3191,241
210,PRR23D1,76
211,USP17L28,44
212,MIR4732,71
213,MBD3L5,262
214,OR4A18P,46
215,MIR3926-2,55
216,MIR3155A,314
217,H3C10,49
218,OR4G3P,291
219,SPRR2A,183
220,MIR548AB,148
221,FAM246B,279
222,CDK11B,265
223,OR4A17P,30
224,OR7E93P,108
225,TRAV5,23
226,MIR6500,209
227,H2BC5,202
228,MIR6770-3,33
229,MIR6798,17
230,DUX4L3,70
231,CT47A1,78
232,OR4A19P,185
233,OR10AF1P,92
234,LOC107980440,139
235,H4C3,9
236,MIR6503,39
237,MIR6744,39
238,TRGV4,99
239,MIR5000,91
240,OR4Q1P,165
241,CSAG2,168
242,LOC102723655,134
243,TRBV29-1,103
244,USP17L12,44
245,OR7D1P,77
246,MIR6773,196
247,MIR4743,71
248,OR5P1P,110
249,MIR6165,109
250,TRAJ34,1
251,H2BC13,202
252,MIR5704,69
253,PCDHGA6,25
254,MIR6509,47
255,TP53TG3E,89
256,TRAJ39,1
257,MIR6881,109
258,OR8I1P,84
259,H2BC10,122
260,OR51C4P,110
261,OR5BL1P,101
262,OR52P2P,132
263,OR11J5P,165
264,TAS2R19,276
265,MIR6505,188
266,DUX4L5,70
267,MIR3181,47
268,MIR4659B,256
269,IGKV1D-12,24
270,MIR6871,273
271,LRRC25,75
272,OR5J1P,30
273,MIR6830,135
274,IGHV1OR15-9,19
275,ATP8B1,86
276,MIR4292,71
277,OR2T29,308
278,OR5BN1P,84
279,IGHV3-72,116
280,ZNF660-ZNF197,220
281,PCDHGB3,25
282,MIR6506,118
283,OR2AM1P,46
284,OR5AZ1P,92
285,H3C6,49
286,PLA2G4B,31
287,OR2G1P,232
288,TRAV10,216
289,MIR6747,112
290,MIR5586,34
291,OR4A8,229
292,PLA2G2D,31
293,TRAV23DV6,216
294,LINC01590,220
295,OR5AK3P,181
296,MIR6088,17
297,MIR1825,123
298,MIR4435-1,131
299,TRBV6-4,26
300,OR8A2P,150
301,OR10AA1P,132
302,OR51A8P,172
303,OR6C66P,46
304,MIR6511A2,251
305,MIR320E,180
306,DAZ2,312
307,MIR4433B,32
308,MIR6828,190
309,TAS2R31,276
310,MIR6511B1,33
311,MIR6074,52
312,MIR4467,149
313,MIR6839,73
314,SUGT1P4-STRA6LP-CCDC180,191
315,FAM90A9,96
316,PRAMEF19,12
317,ACSM2B,275
318,MIR6131,135
319,MIR548AG2,171
320,TRAJ4,1
321,GOLGA8O,18
322,OR10N1P,308
323,TRAJ53,1
324,OR4A2P,90
325,OR2T5,308
326,SRGAP2B,289
327,IGLV11-55,85
328,TRAV7,106
329,MIR4509-3,226
330,OR52Q1P,46
331,TMEM176B,239
332,GTF2IRD2,295
333,TRBV5-6,16
334,OR6C69P,66
335,MIR6863,33
336,MIR6071,91
337,SUGT1P4-STRA6LP,191
338,PLD2,42
339,IGHV3-74,22
340,H3-3B,162
341,NACA4P,41
342,TRNAI-AAU,5
343,MIR941-4,149
344,ZNF765,222
345,OR4C14P,84
346,PLA2G10,31
347,OR4A10P,30
348,CT45A9,281
349,MIR3180-1,62
350,TRAV3,16
351,MIR6834,53
352,SRGAP2C,289
353,IGLV1-47,22
354,MIR8071-2,61
355,DUX4L6,70
356,MIR4666B,95
357,OR4G11P,233
358,MIR6829,69
359,WASHC2A,35
360,IGKV2-29,24
361,IGLV2-11,22
362,MIR378I,32
363,MIR550B2,277
364,MIR941-2,149
365,RNF148,50
366,SPDYE6,244
367,TEX38,3
368,OR5B1P,92
