okved,cluster
TRAJ8,0
MIR4502,1
TRAJ6,0
OR7E53P,2
PLSCR2,3
MIR8087,4
OR51A5P,5
MIR6801,6
MIR6807,7
MIR6799,6
TRAV19,8
MIR6844,9
MIR6775,1
PRR20B,10
TRBV18,8
OR4B2P,11
LINC01595,12
OR8B1P,13
IGLV3-22,14
OR11H3P,15
OR11J1P,15
MIR514B,16
TRAJ35,0
DUX4L2,17
IGKV1D-33,18
CT47A2,19
MIR7706,20
MIR1321,21
MIR4525,22
MIR6796,7
MIR548AE1,23
TRAJ1,0
FAM90A8,24
TRAJ26,0
IGKV1-9,25
MIR12129,7
IGHV3-21,25
IGHV3-16,26
OR9G2P,27
MIR6739,28
H3C11,29
MIR378H,30
OR8B10P,13
OR5AW1P,31
TRAJ14,0
CT47A11,19
USP17L20,32
USP17L22,32
IGLV5-37,14
MIR4436B1,33
SPEM2,34
MIR3681,33
PCDHGA4,35
IGKV1-39,25
OR4H6P,15
OR4P1P,36
IGHV4-34,25
OR51A3P,37
MIR6719,6
OR5AN2P,38
MT-ND1,39
MIR6077,28
TRAJ29,0
MIR4745,40
MIR3689A,41
H2BC16P,12
MIR6848,20
MIR6128,4
CT47A6,19
TRAJ45,0
TRAJ48,0
OR4A42P,42
PRR20D,10
TRAV9-2,8
MIR6835,7
MIR513A1,21
OR10U1P,43
MIR4704,12
PLA2G2E,44
OR4K4P,45
CT47A9,19
TRAV12-2,46
MIR4653,40
OR56A5,47
FAM74A7,48
TRAV2,8
USP17L17,32
OR8B9P,13
IGLV2-23,25
IGHV3-38,49
MIR6846,9
MIR4999,7
OR5M5P,27
OR8X1P,13
TRAJ3,0
GNG14,7
MT-ATP6,39
IGHV2-26,49
ATP11B,3
MIR6865,22
OR4A3P,11
IGHV3-43,49
MIR7850,50
OR7A15P,51
TRNAV-CAC,52
OR11H5P,45
OR5AC4P,53
MIR6783,22
IGKV2-30,25
OR7E158P,54
OR5F2P,36
MIR6771,1
MIR3147,41
OR5D17P,27
TRAJ13,0
MIR3122,55
MIR3202-2,31
OR5BR1P,38
TRAJ37,0
MIR8059,22
PRR20C,10
PRAMEF13,56
PRR23D1,57
USP17L28,32
